name
demo1|AGE
demo2|Y
demo2|N
demo2|R
demo2|NI
demo2|UN
demo2|OT
demo3|01
demo3|02
demo3|03
demo3|04
demo3|05
demo3|06
demo3|07
demo3|NI
demo3|UN
demo3|OT
demo4|A
demo4|F
demo4|M
demo4|NI
demo4|UN
demo4|OT
vital1|HT
vital2|WT
vital3|BMI
vital4|01
vital4|02
vital4|03
vital4|04
vital4|05
vital4|06
vital4|07
vital4|08
vital4|NI
vital4|UN
vital4|OT
vital5|01
vital5|02
vital5|03
vital5|04
vital5|06
vital5|NI
vital5|UN
vital5|OT
vital6|01
vital6|02
vital6|03
vital6|04
vital6|05
vital6|NI
vital6|UN
vital6|OT
vital7|BP_SYSTOLIC
vital8|BP_DIASTOLIC
med2930|PRESCRIBING|1665692
med2931|PRESCRIBING|1665699
med2932|PRESCRIBING|1665699
med2933|PRESCRIBING|1665895
med2934|PRESCRIBING|1665904
med2935|PRESCRIBING|1665904
med2936|PRESCRIBING|1666303
med2937|PRESCRIBING|1666303
med2938|PRESCRIBING|1666311
med2939|PRESCRIBING|1666311
med294|PRESCRIBING|1039799
med2940|PRESCRIBING|1666332
med2941|PRESCRIBING|1666549
med2942|PRESCRIBING|1666613
med2943|PRESCRIBING|1666613
med2944|PRESCRIBING|1666621
med2945|PRESCRIBING|1666621
med2946|PRESCRIBING|1666777
med2947|PRESCRIBING|1666798
med2948|PRESCRIBING|1666798
med2949|PRESCRIBING|1666814
med295|PRESCRIBING|1039816
med2950|PRESCRIBING|1666814
med2951|PRESCRIBING|1666831
med2952|PRESCRIBING|1667660
med2953|PRESCRIBING|1667660
med2954|PRESCRIBING|1667668
med2955|PRESCRIBING|1667668
med2956|PRESCRIBING|1667672
med2957|PRESCRIBING|1667676
med2958|PRESCRIBING|1667880
med2959|PRESCRIBING|1667880
med296|PRESCRIBING|1039836
med2960|PRESCRIBING|1667909
med2961|PRESCRIBING|1668225
med2962|PRESCRIBING|1668238
med2963|PRESCRIBING|1668238
med2964|PRESCRIBING|1668248
med2965|PRESCRIBING|1668263
med2966|PRESCRIBING|1668263
med2967|PRESCRIBING|1668264
med2968|PRESCRIBING|1670011
med2969|PRESCRIBING|1670011
med297|PRESCRIBING|1039851
med2970|PRESCRIBING|1670021
med2971|PRESCRIBING|1670021
med2972|PRESCRIBING|1670191
med2973|PRESCRIBING|1670191
med2974|PRESCRIBING|1670192
med2975|PRESCRIBING|1670192
med2976|PRESCRIBING|1670193
med2977|PRESCRIBING|1670194
med2978|PRESCRIBING|1670194
med2979|PRESCRIBING|1670195
med298|PRESCRIBING|1039860
med2980|PRESCRIBING|1670195
med2981|PRESCRIBING|1670200
med2982|PRESCRIBING|1670200
med2983|PRESCRIBING|1670316
med2984|PRESCRIBING|1670316
med2985|PRESCRIBING|1670350
med2986|PRESCRIBING|1670350
med2987|PRESCRIBING|1670351
med2988|PRESCRIBING|1670387
med2989|PRESCRIBING|168
med299|PRESCRIBING|1039867
med2990|PRESCRIBING|168
med2991|PRESCRIBING|1716195
med2992|PRESCRIBING|1718759
med2993|PRESCRIBING|1718760
med2994|PRESCRIBING|1718900
med2995|PRESCRIBING|1718906
med2996|PRESCRIBING|1718906
med2997|PRESCRIBING|1718909
med2998|PRESCRIBING|1718909
med2999|PRESCRIBING|1718962
med3|PRESCRIBING|1000016
med30|PRESCRIBING|1000351
med300|PRESCRIBING|1039872
med3000|PRESCRIBING|1718962
med3001|PRESCRIBING|1718999
med3002|PRESCRIBING|1718999
med3003|PRESCRIBING|1719000
med3004|PRESCRIBING|1719003
med3005|PRESCRIBING|1719222
med3006|PRESCRIBING|1719222
med3007|PRESCRIBING|1719285
med3008|PRESCRIBING|1719285
med3009|PRESCRIBING|1719286
med301|PRESCRIBING|1039879
med3010|PRESCRIBING|1719286
med3011|PRESCRIBING|1719646
med3012|PRESCRIBING|1719646
med3013|PRESCRIBING|1719647
med3014|PRESCRIBING|1719781
med3015|PRESCRIBING|1719786
med3016|PRESCRIBING|1719803
med3017|PRESCRIBING|1719803
med3018|PRESCRIBING|1719804
med3019|PRESCRIBING|1719862
med302|PRESCRIBING|103990
med3020|PRESCRIBING|1719862
med3021|PRESCRIBING|1720258
med3022|PRESCRIBING|1720601
med3023|PRESCRIBING|1720601
med3024|PRESCRIBING|1720948
med3025|PRESCRIBING|1721310
med3026|PRESCRIBING|1721310
med3027|PRESCRIBING|1721314
med3028|PRESCRIBING|1721314
med3029|PRESCRIBING|1721315
med303|PRESCRIBING|103990
med3030|PRESCRIBING|1721315
med3031|PRESCRIBING|1721458
med3032|PRESCRIBING|1721458
med3033|PRESCRIBING|1721460
med3034|PRESCRIBING|1721460
med3035|PRESCRIBING|1721470
med3036|PRESCRIBING|1721470
med3037|PRESCRIBING|1721474
med3038|PRESCRIBING|1721475
med3039|PRESCRIBING|1721475
med304|PRESCRIBING|1040008
med3040|PRESCRIBING|1721476
med3041|PRESCRIBING|1721476
med3042|PRESCRIBING|1721581
med3043|PRESCRIBING|1721581
med3044|PRESCRIBING|1721613
med3045|PRESCRIBING|1721613
med3046|PRESCRIBING|1721684
med3047|PRESCRIBING|1721684
med3048|PRESCRIBING|1721950
med3049|PRESCRIBING|1721951
med305|PRESCRIBING|1040008
med3050|PRESCRIBING|1722357
med3051|PRESCRIBING|1722370
med3052|PRESCRIBING|1722689
med3053|PRESCRIBING|1722933
med3054|PRESCRIBING|1722933
med3055|PRESCRIBING|1722934
med3056|PRESCRIBING|1722934
med3057|PRESCRIBING|1722939
med3058|PRESCRIBING|1722939
med3059|PRESCRIBING|1722943
med306|PRESCRIBING|1040014
med3060|PRESCRIBING|1722943
med3061|PRESCRIBING|1723156
med3062|PRESCRIBING|1723156
med3063|PRESCRIBING|1723157
med3064|PRESCRIBING|1723160
med3065|PRESCRIBING|1723232
med3066|PRESCRIBING|1723232
med3067|PRESCRIBING|1723476
med3068|PRESCRIBING|1723739
med3069|PRESCRIBING|1723739
med307|PRESCRIBING|1040014
med3070|PRESCRIBING|1723770
med3071|PRESCRIBING|1723770
med3072|PRESCRIBING|1723989
med3073|PRESCRIBING|1724209
med3074|PRESCRIBING|1724276
med3075|PRESCRIBING|1724276
med3076|PRESCRIBING|1724304
med3077|PRESCRIBING|1724329
med3078|PRESCRIBING|1724329
med3079|PRESCRIBING|1724338
med308|PRESCRIBING|1040031
med3080|PRESCRIBING|1724338
med3081|PRESCRIBING|1724352
med3082|PRESCRIBING|1724383
med3083|PRESCRIBING|1724383
med3084|PRESCRIBING|1724611
med3085|PRESCRIBING|1724644
med3086|PRESCRIBING|1724644
med3087|PRESCRIBING|1724666
med3088|PRESCRIBING|1724668
med3089|PRESCRIBING|1724784
med309|PRESCRIBING|1040031
med3090|PRESCRIBING|1724785
med3091|PRESCRIBING|1724841
med3092|PRESCRIBING|1725059
med3093|PRESCRIBING|1726109
med3094|PRESCRIBING|1726179
med3095|PRESCRIBING|1726204
med3096|PRESCRIBING|1726204
med3097|PRESCRIBING|1726214
med3098|PRESCRIBING|1726214
med3099|PRESCRIBING|1726318
med31|PRESCRIBING|1000351
med310|PRESCRIBING|1040041
med3100|PRESCRIBING|1726324
med3101|PRESCRIBING|1726416
med3102|PRESCRIBING|1726416
med3103|PRESCRIBING|1726497
med3104|PRESCRIBING|1726673
med3105|PRESCRIBING|1726992
med3106|PRESCRIBING|1727280
med3107|PRESCRIBING|1727280
med3108|PRESCRIBING|1727479
med3109|PRESCRIBING|1727479
med311|PRESCRIBING|1040041
med3110|PRESCRIBING|1727569
med3111|PRESCRIBING|1727569
med3112|PRESCRIBING|1728037
med3113|PRESCRIBING|1728037
med3114|PRESCRIBING|1728055
med3115|PRESCRIBING|1728055
med3116|PRESCRIBING|1728071
med3117|PRESCRIBING|1728072
med3118|PRESCRIBING|1728082
med3119|PRESCRIBING|1728082
med312|PRESCRIBING|1040054
med3120|PRESCRIBING|1728092
med3121|PRESCRIBING|1728097
med3122|PRESCRIBING|1728097
med3123|PRESCRIBING|1728351
med3124|PRESCRIBING|1728783
med3125|PRESCRIBING|1728791
med3126|PRESCRIBING|1728800
med3127|PRESCRIBING|1728800
med3128|PRESCRIBING|1728802
med3129|PRESCRIBING|1728999
med313|PRESCRIBING|1040054
med3130|PRESCRIBING|1729051
med3131|PRESCRIBING|1729051
med3132|PRESCRIBING|1729055
med3133|PRESCRIBING|1729055
med3134|PRESCRIBING|1729059
med3135|PRESCRIBING|1729063
med3136|PRESCRIBING|1729086
med3137|PRESCRIBING|1729086
med3138|PRESCRIBING|1729197
med3139|PRESCRIBING|1729197
med314|PRESCRIBING|104129
med3140|PRESCRIBING|1729200
med3141|PRESCRIBING|1729200
med3142|PRESCRIBING|1729336
med3143|PRESCRIBING|1729336
med3144|PRESCRIBING|1729351
med3145|PRESCRIBING|1729368
med3146|PRESCRIBING|1729397
med3147|PRESCRIBING|1729404
med3148|PRESCRIBING|1729418
med3149|PRESCRIBING|1729578
med315|PRESCRIBING|1041495
med3150|PRESCRIBING|1730075
med3151|PRESCRIBING|1730075
med3152|PRESCRIBING|1730076
med3153|PRESCRIBING|1730076
med3154|PRESCRIBING|1730194
med3155|PRESCRIBING|1730277
med3156|PRESCRIBING|17305
med3157|PRESCRIBING|1731046
med3158|PRESCRIBING|1731046
med3159|PRESCRIBING|1731074
med316|PRESCRIBING|1041495
med3160|PRESCRIBING|1731074
med3161|PRESCRIBING|1731096
med3162|PRESCRIBING|1731096
med3163|PRESCRIBING|1731315
med3164|PRESCRIBING|1731315
med3165|PRESCRIBING|1731337
med3166|PRESCRIBING|1731345
med3167|PRESCRIBING|1731350
med3168|PRESCRIBING|1731350
med3169|PRESCRIBING|1731355
med317|PRESCRIBING|1041518
med3170|PRESCRIBING|1731518
med3171|PRESCRIBING|1731518
med3172|PRESCRIBING|1731538
med3173|PRESCRIBING|1731582
med3174|PRESCRIBING|1731582
med3175|PRESCRIBING|1731993
med3176|PRESCRIBING|1731993
med3177|PRESCRIBING|1731995
med3178|PRESCRIBING|1731995
med3179|PRESCRIBING|1731998
med318|PRESCRIBING|1041518
med3180|PRESCRIBING|1731998
med3181|PRESCRIBING|1732003
med3182|PRESCRIBING|1732003
med3183|PRESCRIBING|1732006
med3184|PRESCRIBING|1732006
med3185|PRESCRIBING|1732007
med3186|PRESCRIBING|1732011
med3187|PRESCRIBING|1732014
med3188|PRESCRIBING|1732014
med3189|PRESCRIBING|1732136
med319|PRESCRIBING|1041520
med3190|PRESCRIBING|1732136
med3191|PRESCRIBING|1732140
med3192|PRESCRIBING|1732140
med3193|PRESCRIBING|1732182
med3194|PRESCRIBING|1734084
med3195|PRESCRIBING|1734184
med3196|PRESCRIBING|1734184
med3197|PRESCRIBING|1734203
med3198|PRESCRIBING|1734376
med3199|PRESCRIBING|1734376
med32|PRESCRIBING|1000352
med320|PRESCRIBING|1041520
med3200|PRESCRIBING|1734377
med3201|PRESCRIBING|1734377
med3202|PRESCRIBING|1734399
med3203|PRESCRIBING|1734399
med3204|PRESCRIBING|1734475
med3205|PRESCRIBING|1734475
med3206|PRESCRIBING|1734636
med3207|PRESCRIBING|1734636
med3208|PRESCRIBING|1734683
med3209|PRESCRIBING|1734683
med321|PRESCRIBING|1041798
med3210|PRESCRIBING|1734917
med3211|PRESCRIBING|1734937
med3212|PRESCRIBING|1735003
med3213|PRESCRIBING|1735003
med3214|PRESCRIBING|1735004
med3215|PRESCRIBING|1735500
med3216|PRESCRIBING|1735500
med3217|PRESCRIBING|1735670
med3218|PRESCRIBING|1736037
med3219|PRESCRIBING|1736267
med322|PRESCRIBING|1041798
med3220|PRESCRIBING|1736267
med3221|PRESCRIBING|1736329
med3222|PRESCRIBING|1736329
med3223|PRESCRIBING|1736337
med3224|PRESCRIBING|1736470
med3225|PRESCRIBING|1736541
med3226|PRESCRIBING|1736541
med3227|PRESCRIBING|1736546
med3228|PRESCRIBING|1736776
med3229|PRESCRIBING|1736776
med323|PRESCRIBING|1041814
med3230|PRESCRIBING|1736781
med3231|PRESCRIBING|1736919
med3232|PRESCRIBING|1736919
med3233|PRESCRIBING|1736931
med3234|PRESCRIBING|1737244
med3235|PRESCRIBING|1737448
med3236|PRESCRIBING|1737448
med3237|PRESCRIBING|1737449
med3238|PRESCRIBING|1737459
med3239|PRESCRIBING|1737459
med324|PRESCRIBING|1041814
med3240|PRESCRIBING|1737461
med3241|PRESCRIBING|1737578
med3242|PRESCRIBING|1737581
med3243|PRESCRIBING|1737723
med3244|PRESCRIBING|1737723
med3245|PRESCRIBING|1737757
med3246|PRESCRIBING|1737850
med3247|PRESCRIBING|1738334
med3248|PRESCRIBING|1738483
med3249|PRESCRIBING|1738483
med325|PRESCRIBING|1041843
med3250|PRESCRIBING|1738495
med3251|PRESCRIBING|1738495
med3252|PRESCRIBING|1738503
med3253|PRESCRIBING|1738503
med3254|PRESCRIBING|1738511
med3255|PRESCRIBING|1738515
med3256|PRESCRIBING|1738519
med3257|PRESCRIBING|1738519
med3258|PRESCRIBING|1738527
med3259|PRESCRIBING|1738536
med326|PRESCRIBING|1041843
med3260|PRESCRIBING|1738576
med3261|PRESCRIBING|1738586
med3262|PRESCRIBING|1738803
med3263|PRESCRIBING|1738803
med3264|PRESCRIBING|1738805
med3265|PRESCRIBING|1738805
med3266|PRESCRIBING|1738807
med3267|PRESCRIBING|1738807
med3268|PRESCRIBING|1739776
med3269|PRESCRIBING|1739776
med327|PRESCRIBING|104208
med3270|PRESCRIBING|1739794
med3271|PRESCRIBING|1739819
med3272|PRESCRIBING|1740467
med3273|PRESCRIBING|1740467
med3274|PRESCRIBING|1740863
med3275|PRESCRIBING|1740900
med3276|PRESCRIBING|1740942
med3277|PRESCRIBING|1741046
med3278|PRESCRIBING|1741059
med3279|PRESCRIBING|1741261
med328|PRESCRIBING|104208
med3280|PRESCRIBING|1741267
med3281|PRESCRIBING|1741267
med3282|PRESCRIBING|1741375
med3283|PRESCRIBING|1741375
med3284|PRESCRIBING|1741378
med3285|PRESCRIBING|1741403
med3286|PRESCRIBING|1741733
med3287|PRESCRIBING|1741733
med3288|PRESCRIBING|1741905
med3289|PRESCRIBING|1742774
med329|PRESCRIBING|104232
med3290|PRESCRIBING|1742774
med3291|PRESCRIBING|1743703
med3292|PRESCRIBING|1743703
med3293|PRESCRIBING|1743704
med3294|PRESCRIBING|1743704
med3295|PRESCRIBING|1743720
med3296|PRESCRIBING|1743833
med3297|PRESCRIBING|1743833
med3298|PRESCRIBING|1743877
med3299|PRESCRIBING|1743877
med33|PRESCRIBING|1000352
med330|PRESCRIBING|1042684
med3300|PRESCRIBING|1743938
med3301|PRESCRIBING|1743953
med3302|PRESCRIBING|1744001
med3303|PRESCRIBING|1744259
med3304|PRESCRIBING|1744400
med3305|PRESCRIBING|1744400
med3306|PRESCRIBING|1745091
med3307|PRESCRIBING|1745091
med3308|PRESCRIBING|1745103
med3309|PRESCRIBING|1747294
med331|PRESCRIBING|1042688
med3310|PRESCRIBING|1747561
med3311|PRESCRIBING|1747561
med3312|PRESCRIBING|1747572
med3313|PRESCRIBING|1747572
med3314|PRESCRIBING|1747574
med3315|PRESCRIBING|1747691
med3316|PRESCRIBING|1747691
med3317|PRESCRIBING|1747930
med3318|PRESCRIBING|1747930
med3319|PRESCRIBING|1789947
med332|PRESCRIBING|1042692
med3320|PRESCRIBING|1790094
med3321|PRESCRIBING|1790108
med3322|PRESCRIBING|1790141
med3323|PRESCRIBING|1790141
med3324|PRESCRIBING|1790161
med3325|PRESCRIBING|1790169
med3326|PRESCRIBING|1790169
med3327|PRESCRIBING|1790173
med3328|PRESCRIBING|1790173
med3329|PRESCRIBING|1790330
med333|PRESCRIBING|1042836
med3330|PRESCRIBING|1790330
med3331|PRESCRIBING|1790343
med3332|PRESCRIBING|1790506
med3333|PRESCRIBING|1790527
med3334|PRESCRIBING|1790639
med3335|PRESCRIBING|1790639
med3336|PRESCRIBING|1790679
med3337|PRESCRIBING|1790812
med3338|PRESCRIBING|1790877
med3339|PRESCRIBING|1791065
med334|PRESCRIBING|1043022
med3340|PRESCRIBING|1791229
med3341|PRESCRIBING|1791229
med3342|PRESCRIBING|1791240
med3343|PRESCRIBING|1791371
med3344|PRESCRIBING|1791371
med3345|PRESCRIBING|1791403
med3346|PRESCRIBING|1791493
med3347|PRESCRIBING|1791567
med3348|PRESCRIBING|1791580
med3349|PRESCRIBING|1791587
med335|PRESCRIBING|1043030
med3350|PRESCRIBING|1791587
med3351|PRESCRIBING|1791691
med3352|PRESCRIBING|1791691
med3353|PRESCRIBING|1791701
med3354|PRESCRIBING|1791721
med3355|PRESCRIBING|1791840
med3356|PRESCRIBING|1791840
med3357|PRESCRIBING|1791842
med3358|PRESCRIBING|1791854
med3359|PRESCRIBING|1791854
med336|PRESCRIBING|1043071
med3360|PRESCRIBING|1792779
med3361|PRESCRIBING|1794440
med3362|PRESCRIBING|1794440
med3363|PRESCRIBING|1794451
med3364|PRESCRIBING|1794552
med3365|PRESCRIBING|1794552
med3366|PRESCRIBING|1794881
med3367|PRESCRIBING|1795149
med3368|PRESCRIBING|1795250
med3369|PRESCRIBING|1795250
med337|PRESCRIBING|1043224
med3370|PRESCRIBING|1795344
med3371|PRESCRIBING|1795344
med3372|PRESCRIBING|1795470
med3373|PRESCRIBING|1795477
med3374|PRESCRIBING|1795477
med3375|PRESCRIBING|1795514
med3376|PRESCRIBING|1795514
med3377|PRESCRIBING|1795607
med3378|PRESCRIBING|1795607
med3379|PRESCRIBING|1795608
med338|PRESCRIBING|1043229
med3380|PRESCRIBING|1796065
med3381|PRESCRIBING|1796071
med3382|PRESCRIBING|1796419
med3383|PRESCRIBING|1796419
med3384|PRESCRIBING|1796672
med3385|PRESCRIBING|1797833
med3386|PRESCRIBING|1797833
med3387|PRESCRIBING|1797838
med3388|PRESCRIBING|1797838
med3389|PRESCRIBING|1797841
med339|PRESCRIBING|1043249
med3390|PRESCRIBING|1797841
med3391|PRESCRIBING|1797844
med3392|PRESCRIBING|1797844
med3393|PRESCRIBING|1797847
med3394|PRESCRIBING|1797847
med3395|PRESCRIBING|1797851
med3396|PRESCRIBING|1797851
med3397|PRESCRIBING|1797855
med3398|PRESCRIBING|1797859
med3399|PRESCRIBING|1797863
med34|PRESCRIBING|1000395
med340|PRESCRIBING|1043399
med3400|PRESCRIBING|1797863
med3401|PRESCRIBING|1797865
med3402|PRESCRIBING|1797865
med3403|PRESCRIBING|1797867
med3404|PRESCRIBING|1797867
med3405|PRESCRIBING|1797872
med3406|PRESCRIBING|1797872
med3407|PRESCRIBING|1797883
med3408|PRESCRIBING|1797883
med3409|PRESCRIBING|1797886
med341|PRESCRIBING|1043400
med3410|PRESCRIBING|1797886
med3411|PRESCRIBING|1797890
med3412|PRESCRIBING|1797890
med3413|PRESCRIBING|1797895
med3414|PRESCRIBING|1797895
med3415|PRESCRIBING|1797900
med3416|PRESCRIBING|1797904
med3417|PRESCRIBING|1797904
med3418|PRESCRIBING|1797907
med3419|PRESCRIBING|1797907
med342|PRESCRIBING|1043543
med3420|PRESCRIBING|1797910
med3421|PRESCRIBING|1797910
med3422|PRESCRIBING|1797913
med3423|PRESCRIBING|1797913
med3424|PRESCRIBING|1797920
med3425|PRESCRIBING|1797920
med3426|PRESCRIBING|1797929
med3427|PRESCRIBING|1797929
med3428|PRESCRIBING|1798364
med3429|PRESCRIBING|1799212
med343|PRESCRIBING|1043563
med3430|PRESCRIBING|1799212
med3431|PRESCRIBING|1799428
med3432|PRESCRIBING|1799694
med3433|PRESCRIBING|1799694
med3434|PRESCRIBING|1801178
med3435|PRESCRIBING|1801178
med3436|PRESCRIBING|1801279
med3437|PRESCRIBING|1801279
med3438|PRESCRIBING|1801289
med3439|PRESCRIBING|1801289
med344|PRESCRIBING|1043563
med3440|PRESCRIBING|1801294
med3441|PRESCRIBING|1801294
med3442|PRESCRIBING|1801298
med3443|PRESCRIBING|1801298
med3444|PRESCRIBING|1801319
med3445|PRESCRIBING|1801319
med3446|PRESCRIBING|1801514
med3447|PRESCRIBING|1801835
med3448|PRESCRIBING|1801835
med3449|PRESCRIBING|1803930
med345|PRESCRIBING|1043570
med3450|PRESCRIBING|1803932
med3451|PRESCRIBING|1804748
med3452|PRESCRIBING|1804799
med3453|PRESCRIBING|1804799
med3454|PRESCRIBING|1804804
med3455|PRESCRIBING|1805000
med3456|PRESCRIBING|1806177
med3457|PRESCRIBING|1806177
med3458|PRESCRIBING|1806179
med3459|PRESCRIBING|1806179
med346|PRESCRIBING|1043570
med3460|PRESCRIBING|1806181
med3461|PRESCRIBING|1806181
med3462|PRESCRIBING|1806187
med3463|PRESCRIBING|1806187
med3464|PRESCRIBING|1806197
med3465|PRESCRIBING|1806380
med3466|PRESCRIBING|1806380
med3467|PRESCRIBING|1806382
med3468|PRESCRIBING|1806382
med3469|PRESCRIBING|1806666
med347|PRESCRIBING|1043578
med3470|PRESCRIBING|1806884
med3471|PRESCRIBING|1806919
med3472|PRESCRIBING|1806919
med3473|PRESCRIBING|1806924
med3474|PRESCRIBING|1806924
med3475|PRESCRIBING|1806929
med3476|PRESCRIBING|1806929
med3477|PRESCRIBING|1806933
med3478|PRESCRIBING|1806934
med3479|PRESCRIBING|1806964
med348|PRESCRIBING|1043642
med3480|PRESCRIBING|1806964
med3481|PRESCRIBING|1807452
med3482|PRESCRIBING|1807452
med3483|PRESCRIBING|1807508
med3484|PRESCRIBING|1807508
med3485|PRESCRIBING|1807510
med3486|PRESCRIBING|1807511
med3487|PRESCRIBING|1807513
med3488|PRESCRIBING|1807513
med3489|PRESCRIBING|1807516
med349|PRESCRIBING|1043642
med3490|PRESCRIBING|1807516
med3491|PRESCRIBING|1807518
med3492|PRESCRIBING|1807518
med3493|PRESCRIBING|1807546
med3494|PRESCRIBING|1807546
med3495|PRESCRIBING|1807571
med3496|PRESCRIBING|1807578
med3497|PRESCRIBING|1807578
med3498|PRESCRIBING|1807627
med3499|PRESCRIBING|1807627
med35|PRESCRIBING|1000395
med350|PRESCRIBING|1043658
med3500|PRESCRIBING|1807628
med3501|PRESCRIBING|1807628
med3502|PRESCRIBING|1807888
med3503|PRESCRIBING|1807888
med3504|PRESCRIBING|1807894
med3505|PRESCRIBING|1807894
med3506|PRESCRIBING|1807915
med3507|PRESCRIBING|1807915
med3508|PRESCRIBING|1807917
med3509|PRESCRIBING|1807917
med351|PRESCRIBING|1043658
med3510|PRESCRIBING|1808217
med3511|PRESCRIBING|1808217
med3512|PRESCRIBING|1808618
med3513|PRESCRIBING|1809061
med3514|PRESCRIBING|1809061
med3515|PRESCRIBING|1809066
med3516|PRESCRIBING|1809066
med3517|PRESCRIBING|1809068
med3518|PRESCRIBING|1809076
med3519|PRESCRIBING|1809076
med352|PRESCRIBING|1043690
med3520|PRESCRIBING|1809083
med3521|PRESCRIBING|1809097
med3522|PRESCRIBING|1809097
med3523|PRESCRIBING|1809206
med3524|PRESCRIBING|1809414
med3525|PRESCRIBING|1809414
med3526|PRESCRIBING|1809417
med3527|PRESCRIBING|1809417
med3528|PRESCRIBING|1809430
med3529|PRESCRIBING|1809434
med353|PRESCRIBING|1043693
med3530|PRESCRIBING|1809444
med3531|PRESCRIBING|1809524
med3532|PRESCRIBING|1809736
med3533|PRESCRIBING|1809736
med3534|PRESCRIBING|1810997
med3535|PRESCRIBING|1811002
med3536|PRESCRIBING|1811403
med3537|PRESCRIBING|1811403
med3538|PRESCRIBING|1811886
med3539|PRESCRIBING|1812011
med354|PRESCRIBING|1043704
med3540|PRESCRIBING|1812011
med3541|PRESCRIBING|1812013
med3542|PRESCRIBING|1812013
med3543|PRESCRIBING|1812015
med3544|PRESCRIBING|1812015
med3545|PRESCRIBING|1812079
med3546|PRESCRIBING|1812079
med3547|PRESCRIBING|1812168
med3548|PRESCRIBING|1812168
med3549|PRESCRIBING|1812332
med355|PRESCRIBING|1043704
med3550|PRESCRIBING|1812434
med3551|PRESCRIBING|1812434
med3552|PRESCRIBING|1812468
med3553|PRESCRIBING|1855389
med3554|PRESCRIBING|1855389
med3555|PRESCRIBING|1855529
med3556|PRESCRIBING|1855529
med3557|PRESCRIBING|1856274
med3558|PRESCRIBING|1857911
med3559|PRESCRIBING|1858261
med356|PRESCRIBING|1043719
med3560|PRESCRIBING|1858261
med3561|PRESCRIBING|1858995
med3562|PRESCRIBING|1859553
med3563|PRESCRIBING|1859553
med3564|PRESCRIBING|1860094
med3565|PRESCRIBING|1860100
med3566|PRESCRIBING|1860100
med3567|PRESCRIBING|1860127
med3568|PRESCRIBING|1860132
med3569|PRESCRIBING|1860132
med357|PRESCRIBING|10438
med3570|PRESCRIBING|1860167
med3571|PRESCRIBING|1860167
med3572|PRESCRIBING|1860241
med3573|PRESCRIBING|1860241
med3574|PRESCRIBING|1860463
med3575|PRESCRIBING|1862584
med3576|PRESCRIBING|1862584
med3577|PRESCRIBING|1863330
med3578|PRESCRIBING|1863330
med3579|PRESCRIBING|1863365
med358|PRESCRIBING|104416
med3580|PRESCRIBING|1863365
med3581|PRESCRIBING|1863605
med3582|PRESCRIBING|1863605
med3583|PRESCRIBING|1863966
med3584|PRESCRIBING|1865665
med3585|PRESCRIBING|1865957
med3586|PRESCRIBING|1865957
med3587|PRESCRIBING|1866160
med3588|PRESCRIBING|1866160
med3589|PRESCRIBING|1866543
med359|PRESCRIBING|104416
med3590|PRESCRIBING|1866551
med3591|PRESCRIBING|1866551
med3592|PRESCRIBING|1867544
med3593|PRESCRIBING|1867544
med3594|PRESCRIBING|1867552
med3595|PRESCRIBING|1867552
med3596|PRESCRIBING|1867938
med3597|PRESCRIBING|1867992
med3598|PRESCRIBING|1868014
med3599|PRESCRIBING|1868018
med36|PRESCRIBING|1000398
med360|PRESCRIBING|1044268
med3600|PRESCRIBING|1868018
med3601|PRESCRIBING|1868469
med3602|PRESCRIBING|1868469
med3603|PRESCRIBING|1868473
med3604|PRESCRIBING|1868486
med3605|PRESCRIBING|1868486
med3606|PRESCRIBING|1868562
med3607|PRESCRIBING|1868843
med3608|PRESCRIBING|1868843
med3609|PRESCRIBING|1869279
med361|PRESCRIBING|1044427
med3610|PRESCRIBING|1869318
med3611|PRESCRIBING|1869684
med3612|PRESCRIBING|1869684
med3613|PRESCRIBING|1869685
med3614|PRESCRIBING|1869685
med3615|PRESCRIBING|1869697
med3616|PRESCRIBING|1869697
med3617|PRESCRIBING|1870205
med3618|PRESCRIBING|1870205
med3619|PRESCRIBING|1870207
med362|PRESCRIBING|1044427
med3620|PRESCRIBING|1870225
med3621|PRESCRIBING|1870431
med3622|PRESCRIBING|1870631
med3623|PRESCRIBING|1870631
med3624|PRESCRIBING|1870633
med3625|PRESCRIBING|1870641
med3626|PRESCRIBING|1870650
med3627|PRESCRIBING|1870650
med3628|PRESCRIBING|1870681
med3629|PRESCRIBING|1870686
med363|PRESCRIBING|1044603
med3630|PRESCRIBING|1870933
med3631|PRESCRIBING|1871155
med3632|PRESCRIBING|1871434
med3633|PRESCRIBING|1871441
med3634|PRESCRIBING|1872234
med3635|PRESCRIBING|1872271
med3636|PRESCRIBING|1872271
med3637|PRESCRIBING|1872453
med3638|PRESCRIBING|1874086
med3639|PRESCRIBING|1874553
med364|PRESCRIBING|1044603
med3640|PRESCRIBING|1874553
med3641|PRESCRIBING|1874559
med3642|PRESCRIBING|1874559
med3643|PRESCRIBING|1874857
med3644|PRESCRIBING|1874857
med3645|PRESCRIBING|1876380
med3646|PRESCRIBING|1876401
med3647|PRESCRIBING|1876502
med3648|PRESCRIBING|1886
med3649|PRESCRIBING|1897
med365|PRESCRIBING|1044608
med3650|PRESCRIBING|1918042
med3651|PRESCRIBING|1918194
med3652|PRESCRIBING|1918203
med3653|PRESCRIBING|1918209
med3654|PRESCRIBING|1918224
med3655|PRESCRIBING|1918224
med3656|PRESCRIBING|1918236
